id,value
DSC.Drive API.Drive_Access_Token_128309801561,9090
DSC.Google Team Drive
DSC.Google Team Drive.JoeNumber1,9090
DSC.JLevy
DSC.JLevy.Levy_1,9090
DSC.JLevy.Logger_SMO,9090
DSC.JLevy.SMO_Boolean,9090
DSC.JLevy.SMO_String,9090
DSC.Leiden CF900
DSC.Leiden CF900.CF_Impedance_CMN,9090
DSC.Leiden CF900.CF_FP_STATE,9090
DSC.Leiden CF900.CF_KH_ch1,9090
DSC.Leiden CF900.CF_KH_ch2,9090
DSC.Leiden CF900.CF_KH_ch3,9090
DSC.Leiden CF900.CF_KH_ch4,9090
DSC.Leiden CF900.CF_KH_ch5,9090
DSC.Leiden CF900.CF_KH_ch6,9090
DSC.Leiden CF900.CF_KH_ch7,9090
DSC.Leiden CF900.CF_KH_ch8,9090
DSC.Leiden CF900.CF_TC_calibration,9090
DSC.Leiden CF900.CF_TC_description,9090
DSC.Leiden CF900.CF_TC_Z_calibration,9090
DSC.Leiden CF900.CF_TC_Z_description,9090
DSC.Leiden CF900.CF_TC_Z_R0,9090
DSC.Leiden CF900.CF_TC_Z_R1,9090
DSC.Leiden CF900.CF_TC_Z_R2,9090
DSC.Leiden CF900.CF_TC_Z_R3,9090
DSC.Leiden CF900.CF_TC_Z_R4,9090
DSC.Leiden CF900.CF_TC_Z_R5,9090
DSC.Leiden CF900.CF_TC_Z_R6,9090
DSC.Leiden CF900.CF_TC_Z_R7,9090
DSC.Leiden CF900.CF_TC_Z_R8,9090
DSC.Leiden CF900.CF_TC_Z_R9,9090
DSC.Leiden CF900.CF_TC_Z_T0,9090
DSC.Leiden CF900.CF_TC_Z_T1,9090
DSC.Leiden CF900.CF_TC_Z_T2,9090
DSC.Leiden CF900.CF_TC_Z_T3,9090
DSC.Leiden CF900.CF_TC_Z_T4,9090
DSC.Leiden CF900.CF_TC_Z_T5,9090
DSC.Leiden CF900.CF_TC_Z_T6,9090
DSC.Leiden CF900.CF_TC_Z_T7,9090
DSC.Leiden CF900.CF_TC_Z_T8,9090
DSC.Leiden CF900.CF_TC_Z_T9,9090
DSC.Leiden CF900.CF900_Cstill,9090
DSC.Leiden CF900.Leiden_CF_FP_CF_FP_Flow,9090
DSC.Leiden CF900.Leiden_CF_FP_CF_FP_He,9090
DSC.Leiden CF900.Leiden_CF_FP_CF_FP_MG0,9090
DSC.Leiden CF900.Leiden_CF_FP_CF_FP_MG1,9090
DSC.Leiden CF900.Leiden_CF_FP_CF_FP_MG2,9090
DSC.Leiden CF900.Leiden_CF_FP_CF_FP_MG3,9090
DSC.Leiden CF900.Leiden_CF_FP_CF_FP_MG4,9090
DSC.Leiden CF900.Leiden_CF_FP_CF_FP_MG5,9090
DSC.Leiden CF900.Leiden_CF_FP_CF_FP_oil,9090
DSC.Leiden CF900.Leiden_CF_FP_CF_FP_P_high,9090
DSC.Leiden CF900.Leiden_CF_FP_CF_FP_P_low,9090
DSC.Leiden CF900.Leiden_CF_FP_CF_FP_P1,9090
DSC.Leiden CF900.Leiden_CF_FP_CF_FP_P2,9090
DSC.Leiden CF900.Leiden_CF_FP_CF_FP_P3,9090
DSC.Leiden CF900.Leiden_CF_FP_CF_FP_P4,9090
DSC.Leiden CF900.Leiden_CF_FP_CF_FP_P5,9090
DSC.Leiden CF900.Leiden_CF_FP_CF_FP_P6,9090
DSC.Leiden CF900.Leiden_CF_FP_CF_FP_P7,9090
DSC.Leiden CF900.Leiden_CF_FP_CF_FP_PT_current,9090
DSC.Leiden CF900.Leiden_CF_FP_CF_FP_PT_on,9090
DSC.Leiden CF900.Leiden_CF_FP_CF_FP_State0,9090
